"Fichier";"Type";"Real Size";"Theoric Size";"Ratio"
"Q - 1010 Songs You Must Own - 2004";"SONG";"1011,00";"1010,00";"100,00"
"Rolling Stone - 100 Best Live Albums - 2012";"ALBUM";"101,00";"100,00";"101,00"
"Inrock - Album - 2017";"ALBUM";"101,00";"100,00";"101,00"
"Spin - Top 90 Albums Of The 90's - 1999";"ALBUM";"91,00";"90,00";"101,10"
"The Guardian - Album - 2008";"ALBUM";"51,00";"50,00";"102,00"
"The Guardian - Alternative Top 100 Albums Ever - 1999";"ALBUM";"102,00";"100,00";"102,00"
"MusicForAnts - Song - 2009";"SONG";"51,00";"50,00";"102,00"
"NME - 50 Greatest Guitar Solos Of All Time - 2017";"SONG";"51,00";"50,00";"102,00"
"Rolling Stone - Album - 2017";"ALBUM";"51,00";"50,00";"102,00"
"Pitchfork - Album - 2012";"ALBUM";"51,00";"50,00";"102,00"
"PopMatters - Album - 2005";"ALBUM";"51,00";"50,00";"102,00"
"RockRS";"SONG";"46,00";"45,00";"102,20"
"MusicForAnts - 10's Decade Song So Far - 2014";"SONG";"46,00";"45,00";"102,20"
"Mojo - Album - 2002";"ALBUM";"41,00";"40,00";"102,50"
"Mojo - The 100 Greatest Singles Of All Time - 1997";"SONG";"136,00";"132,00";"103,00"
"Spin - 50 Greatest Bands Of All Time - 2002";"ALBUM";"52,00";"50,00";"104,00"
"MusicForAnts - Song - 2005";"SONG";"26,00";"25,00";"104,00"
"Pitchfork - Album - 2002";"ALBUM";"52,00";"50,00";"104,00"
"Pitchfork - Album - 2010";"ALBUM";"52,00";"50,00";"104,00"
"Mojo - READERS THE 100 GREATEST ALBUMS EVER MADE - 1996";"ALBUM";"104,00";"100,00";"104,00"
"Rolling Stone - 500 Best Songs - 2010";"SONG";"524,00";"500,00";"104,80"
"Spin - Song - 2003";"SONG";"21,00";"20,00";"105,00"
"Spin - Song - 2011";"SONG";"21,00";"20,00";"105,00"
"Spin - Top 20 Singles Of The 90's - 1999";"SONG";"21,00";"20,00";"105,00"
"Mojo - Readers All Time To 100 Singles - 1997";"SONG";"107,00";"100,00";"107,00"
"Q - 100 Reggae Scorchers - 2005";"ALBUM";"108,00";"100,00";"108,00"
"Rolling Stone - 500 Albums - 2010";"ALBUM";"542,00";"500,00";"108,40"
"Spin - The 50 Most Essential Punk Records - 2001";"ALBUM";"55,00";"50,00";"110,00"
"Spin - Album - 1999";"ALBUM";"22,00";"20,00";"110,00"
"Spin - Song - 1995";"SONG";"22,00";"20,00";"110,00"
"Spin - Song - 1999";"SONG";"22,00";"20,00";"110,00"
"Rolling Stone - Album - 1989";"ALBUM";"11,00";"10,00";"110,00"
"NME - The 00's - 2012";"SONG";"114,00";"100,00";"114,00"
"Spin - Song - 2000";"SONG";"23,00";"20,00";"115,00"
"Spin - Song - 1994";"SONG";"24,00";"20,00";"120,00"
"Spin - Song - 1997";"SONG";"24,00";"20,00";"120,00"
"Spin - Song - 1998";"SONG";"24,00";"20,00";"120,00"
"Rolling Stone - Song - 1985";"SONG";"6,00";"5,00";"120,00"
"top_300_songs";"SONG";"3619,00";"3000,00";"120,60"
"Rolling Stone - Song - 2003";"SONG";"11,00";"9,00";"122,20"
"Rolling Stone - The 100 Greatest Albums Of The 80s - 1990";"ALBUM";"125,00";"100,00";"125,00"
"Rolling Stone - Song - 1988";"SONG";"13,00";"10,00";"130,00"
"Rolling Stone - Album - 1988";"ALBUM";"13,00";"10,00";"130,00"
"Mojo - 100 Greatest Songs Of All The Time - 2000";"SONG";"148,00";"100,00";"148,00"
"Spin - Song - 1996";"SONG";"30,00";"20,00";"150,00"
"Mojo Special Edition - The UK Indie Top 100 Records - Misc";"SONG";"17,00";"100,00";"17,00"
"Spin - 100 Greatest Albums (1985-2005) - 2005";"ALBUM";"175,00";"100,00";"175,00"
"Uncut - 100 Rock & Movie Icons - Songs - 2005";"SONG";"23,00";"100,00";"23,00"
"NME - The Most Influential Artist Of All Time - 2000";"ALBUM";"57,00";"20,00";"285,00"
"Mojo - 100 Records That Changed the World - Songs - 2007";"SONG";"35,00";"100,00";"35,00"
"Mojo Special Edition - The UK Indie Top 100 Records - Album";"ALBUM";"36,00";"100,00";"36,00"
"NME - The Beatles 1970-1980 - The Solo Years - 1980";"SONG";"40,00";"10,00";"400,00"
"Uncut - 100 Rock & Movie Icons - Albums - 2005";"ALBUM";"51,00";"100,00";"51,00"
"Mojo Special Edition - The UK Indie Top 100 Records - Single";"SONG";"52,00";"100,00";"52,00"
"'90";"SONG";"26,00";"50,00";"52,00"
"The Times Best Album Of The Decade - 2000 - 2009";"ALBUM";"17,00";"30,00";"56,60"
"Mojo - 100 Records That Changed the World - Albums - 2007";"ALBUM";"65,00";"100,00";"65,00"
"Pitchfork - The 200 Best Songs of the 1960s - 2006";"SONG";"136,00";"200,00";"68,00"
"Pitchfork - 200 Best Tracks of the Decade So Far (2010-2014) - 2014";"SONG";"142,00";"200,00";"71,00"
"The Times Magazine 100 Best Albums Of All Time - 1993";"ALBUM";"72,00";"100,00";"72,00"
"Spin - The 25 Greatest Albums Of All Time - 1989";"ALBUM";"19,00";"25,00";"76,00"
"1001 Greatest Songs by Toby Creswell";"SONG";"767,00";"1001,00";"76,60"
"Pitchfork - Song - 2012";"SONG";"79,00";"100,00";"79,00"
"Pitchfork - Song - 2013";"SONG";"79,00";"100,00";"79,00"
"Kids are all right";"SONG";"14,00";"17,00";"82,30"
"truc";"SONG";"43,00";"50,00";"86,00"
"Q - In Our Lifetime 100 Best Albums (1986-1994) - 1995";"ALBUM";"87,00";"100,00";"87,00"
"Pitchfork - Albums 80's - 2002";"ALBUM";"89,00";"100,00";"89,00"
"Uncut - The 100 Greatest Singles Of The Post 1976 - 2001";"SONG";"90,00";"100,00";"90,00"
"Inrock - Best 100 Albums From The Last Decade (1986 - 1996) - 1995";"ALBUM";"91,00";"100,00";"91,00"
"Rolling Stone - 100 Greatest Guitar Songs Of All Time - 2008";"SONG";"92,00";"100,00";"92,00"
"Rolling Stone - 200 The Essential Rock Collection - 1997";"ALBUM";"188,00";"200,00";"94,00"
"Spin - Album - 2000";"ALBUM";"19,00";"20,00";"95,00"
"Paste - Album - 1978";"ALBUM";"29,00";"30,00";"96,60"
"Spin - 100 Greatest Singles Of All Time - 1989";"SONG";"97,00";"100,00";"97,00"
"NME - Tracks Of The Week - 2004";"SONG";"50,00";"51,00";"98,00"
"Pitchfork - Top 200 Albums of the 2000s - 2009";"ALBUM";"196,00";"200,00";"98,00"
"Mojo - 80 From The 80s - Albums - 2007";"ALBUM";"74,00";"75,00";"98,60"
"Q - 90 Of The 90s - 1999";"ALBUM";"89,00";"90,00";"98,80"
"Inrock - 1000 morceaux indispensables - 2015";"SONG";"996,00";"1000,00";"99,60"
"Inrock - The Juke Box! Singles selection from 1950 to 2009 - 2009";"SONG";"1211,00";"1213,00";"99,80"
"Pitchfork - Top 500 Tracks of the 2000s - 2009";"SONG";"499,00";"500,00";"99,80"
